SD1,SD2,SD3,SD4,institute,PI
0.0000,0.0444,0.0211,0.0023,sinai,casaccia
0.0573,0.0089,0.0064,0.0045,sinai,mobbs
0.0196,0.0350,0.0033,0.0313,sinai,multiscalenetwork
0.0380,0.0116,0.0175,0.0198,sinai,fanglab
0.1005,0.1588,0.0043,0.0176,sinai,benson
0.0537,0.0463,0.0022,0.0113,sinai,sadler.html
0.0233,0.0325,0.0167,0.0164,sinai,faithlab.mssm.edu
0.0522,0.0524,0.0306,0.0087,sinai,isabelle-m-germano#bot
0.0879,0.0859,0.0430,0.0025,sinai,sokol
0.1098,0.0922,0.0876,0.0751,sinai,moores01
0.0784,0.0696,0.0364,0.0022,sinai,cleaned-tagged-text
0.0562,0.0288,0.0183,0.0138,sinai,Home.html
0.0216,0.0333,0.0209,0.0058,sinai,akbarian
0.0410,0.0706,0.0383,0.0154,sinai,cathie-pfleger#bot
0.0523,0.0526,0.0358,0.0062,sinai,stuart-a-aaronson
0.1387,0.0458,0.0340,0.1436,sinai,jinlab
0.0558,0.0427,0.0251,0.0017,sinai,matthew-j-oconnell#bot
0.0530,0.3244,0.0768,0.7505,sinai,shen
0.0398,0.0513,0.0317,0.0042,sinai,mihaly-mezei
0.0723,0.0591,0.0000,0.0106,sinai,morrison
0.0581,0.0526,0.0267,0.0065,sinai,wuh02
0.0879,0.0859,0.0430,0.0025,sinai,index.html
0.2936,0.0257,0.0281,0.0201,sinai,kundu-lab
0.0458,0.0616,0.0374,0.0054,sinai,christoph-schaniel
0.0455,0.0787,0.0407,0.0152,sinai,jose-m-wolosin
0.0155,0.3141,0.8431,0.0026,sinai,www.hoshida-lab.org
0.1939,0.0652,0.1516,0.2037,sinai,Index.htm
0.0048,0.0019,0.0085,0.0300,sinai,bashir
0.0469,0.0418,0.0251,0.0042,sinai,robert-devita
0.0817,0.0881,0.0509,0.0082,sinai,rongchenlab.org
0.0755,0.0725,0.0544,0.0582,sinai,warbup01
0.0454,0.0632,0.0331,0.0067,sinai,qin-yu#bot
0.0025,0.0619,0.0114,0.0125,sinai,hof
0.0879,0.0859,0.0430,0.0025,sinai,rendl-lab.info
0.0140,0.0130,0.0091,0.0006,sinai,avner-schlessinger
0.0626,0.2240,0.0818,0.0233,sinai,zou
0.0618,0.0775,0.0234,0.0396,sinai,kaplan
0.0779,0.0491,0.0141,0.0369,sinai,cropper
0.0410,0.0613,0.0312,0.0039,sinai,james-j-manfredi#bot
0.0327,0.1129,0.0032,0.0946,sinai,integrative-network-biology
0.2558,0.0182,0.0043,0.0113,sinai,mani-lab
0.3474,0.0115,0.0153,0.0202,sinai,mulder-lab
0.0761,0.0587,0.0074,0.0098,sinai,schiller
0.0879,0.0859,0.0430,0.0025,sinai,lab
0.4140,0.0044,0.0182,0.0345,sinai,xu-lab
0.3059,0.0357,0.0030,0.0277,sinai,balchandani-lab
0.0741,0.0504,0.0058,0.0324,sinai,russo
0.0476,0.0462,0.0316,0.0076,sinai,e-premkumar-reddy#bot
0.0178,0.1218,0.0313,0.0736,sinai,slesinger
0.1262,0.6891,0.2491,0.4727,sinai,dickstein
0.0154,0.2666,0.0699,0.0375,sinai,huntley
0.4378,0.0151,0.0064,0.0257,sinai,taouli-lab
0.0051,0.0128,0.0232,0.0434,sinai,fisherlab
